title,summary,link,source,published_date,reliability,url,full_text,sentiment_score,sentiment_label,confidence,market_impact,novelty_score,entities,key_phrases,reasoning,analysis_method
US oil inventories decline more than expected,"Weekly oil inventory report shows larger than expected decline, supporting prices.",https://cnbc.com/simulated-article-17-0,cnbc,2023-01-18,0.8,https://cnbc.com,"Weekly oil inventory report shows larger than expected decline, supporting prices. This is simulated news data for demonstration purposes.",0.7,positive,0.9,high,0.5,"{""countries"": [""US""], ""organizations"": [""Weekly""], ""people"": [], ""locations"": [], ""dates"": [], ""money"": []}","[""more than expected Weekly oil inventory report"", ""US oil inventories"", ""expected decline"", ""Weekly"", ""US""]","The headline indicates a larger than expected decline in US oil inventories, which typically leads to an increase in prices due to reduced supply. The word 'supporting' further emphasizes the positive sentiment towards prices. This news is likely to have high market impact as it suggests potential shortage of oil in the market.",llm
Russia-Ukraine conflict impacts global oil trade,Ongoing conflict continues to affect global oil trade and pricing dynamics.,https://bbc.com/simulated-article-16-0,bbc,2023-01-17,0.8,https://bbc.com,Ongoing conflict continues to affect global oil trade and pricing dynamics. This is simulated news data for demonstration purposes.,0.0,neutral,0.5,low,0.5,{},[],"Error in analysis: 
**********************************************************************
  Resource [93mpunkt_tab[0m not found.
  Please use the NLTK Downloader to obtain the resource:

  [31m>>> import nltk
  >>> nltk.download('punkt_tab')
  [0m
  For more information see: https://www.nltk.org/data.html

  Attempted to load [93mtokenizers/punkt_tab/english/[0m

  Searched in:
    - '/Users/rushilkakkad/nltk_data'
    - '/Library/Frameworks/Python.framework/Versions/3.13/nltk_data'
    - '/Library/Frameworks/Python.framework/Versions/3.13/share/nltk_data'
    - '/Library/Frameworks/Python.framework/Versions/3.13/lib/nltk_data'
    - '/usr/share/nltk_data'
    - '/usr/local/share/nltk_data'
    - '/usr/lib/nltk_data'
    - '/usr/local/lib/nltk_data'
**********************************************************************
",error
"OPEC+ announces production cuts, oil prices surge","OPEC+ members agreed to reduce production by 2 million barrels per day, sending oil prices higher.",https://reuters.com/simulated-article-10-0,reuters,2023-01-11,0.8,https://reuters.com,"OPEC+ members agreed to reduce production by 2 million barrels per day, sending oil prices higher. This is simulated news data for demonstration purposes.",0.0,neutral,0.5,low,0.5,{},[],"Error in analysis: 
**********************************************************************
  Resource [93mpunkt_tab[0m not found.
  Please use the NLTK Downloader to obtain the resource:

  [31m>>> import nltk
  >>> nltk.download('punkt_tab')
  [0m
  For more information see: https://www.nltk.org/data.html

  Attempted to load [93mtokenizers/punkt_tab/english/[0m

  Searched in:
    - '/Users/rushilkakkad/nltk_data'
    - '/Library/Frameworks/Python.framework/Versions/3.13/nltk_data'
    - '/Library/Frameworks/Python.framework/Versions/3.13/share/nltk_data'
    - '/Library/Frameworks/Python.framework/Versions/3.13/lib/nltk_data'
    - '/usr/share/nltk_data'
    - '/usr/local/share/nltk_data'
    - '/usr/lib/nltk_data'
    - '/usr/local/lib/nltk_data'
**********************************************************************
",error
Venezuela oil production shows signs of recovery,"Venezuela's oil production has increased, adding to global supply.",https://bloomberg.com/simulated-article-9-0,bloomberg,2023-01-10,0.8,https://bloomberg.com,"Venezuela's oil production has increased, adding to global supply. This is simulated news data for demonstration purposes.",0.0,neutral,0.5,low,0.5,{},[],"Error in analysis: 
**********************************************************************
  Resource [93mpunkt_tab[0m not found.
  Please use the NLTK Downloader to obtain the resource:

  [31m>>> import nltk
  >>> nltk.download('punkt_tab')
  [0m
  For more information see: https://www.nltk.org/data.html

  Attempted to load [93mtokenizers/punkt_tab/english/[0m

  Searched in:
    - '/Users/rushilkakkad/nltk_data'
    - '/Library/Frameworks/Python.framework/Versions/3.13/nltk_data'
    - '/Library/Frameworks/Python.framework/Versions/3.13/share/nltk_data'
    - '/Library/Frameworks/Python.framework/Versions/3.13/lib/nltk_data'
    - '/usr/share/nltk_data'
    - '/usr/local/share/nltk_data'
    - '/usr/lib/nltk_data'
    - '/usr/local/lib/nltk_data'
**********************************************************************
",error
China's economic slowdown weighs on oil demand,Slowing economic growth in China has reduced oil demand expectations.,https://reuters.com/simulated-article-8-0,reuters,2023-01-09,0.8,https://reuters.com,Slowing economic growth in China has reduced oil demand expectations. This is simulated news data for demonstration purposes.,0.0,neutral,0.5,low,0.5,{},[],"Error in analysis: 
**********************************************************************
  Resource [93mpunkt_tab[0m not found.
  Please use the NLTK Downloader to obtain the resource:

  [31m>>> import nltk
  >>> nltk.download('punkt_tab')
  [0m
  For more information see: https://www.nltk.org/data.html

  Attempted to load [93mtokenizers/punkt_tab/english/[0m

  Searched in:
    - '/Users/rushilkakkad/nltk_data'
    - '/Library/Frameworks/Python.framework/Versions/3.13/nltk_data'
    - '/Library/Frameworks/Python.framework/Versions/3.13/share/nltk_data'
    - '/Library/Frameworks/Python.framework/Versions/3.13/lib/nltk_data'
    - '/usr/share/nltk_data'
    - '/usr/local/share/nltk_data'
    - '/usr/lib/nltk_data'
    - '/usr/local/lib/nltk_data'
**********************************************************************
",error
"OPEC maintains current production levels, markets stabilize","OPEC decided to maintain current production levels, providing stability to oil markets.",https://bloomberg.com/simulated-article-5-0,bloomberg,2023-01-06,0.8,https://bloomberg.com,"OPEC decided to maintain current production levels, providing stability to oil markets. This is simulated news data for demonstration purposes.",0.0,neutral,0.5,low,0.5,{},[],"Error in analysis: 
**********************************************************************
  Resource [93mpunkt_tab[0m not found.
  Please use the NLTK Downloader to obtain the resource:

  [31m>>> import nltk
  >>> nltk.download('punkt_tab')
  [0m
  For more information see: https://www.nltk.org/data.html

  Attempted to load [93mtokenizers/punkt_tab/english/[0m

  Searched in:
    - '/Users/rushilkakkad/nltk_data'
    - '/Library/Frameworks/Python.framework/Versions/3.13/nltk_data'
    - '/Library/Frameworks/Python.framework/Versions/3.13/share/nltk_data'
    - '/Library/Frameworks/Python.framework/Versions/3.13/lib/nltk_data'
    - '/usr/share/nltk_data'
    - '/usr/local/share/nltk_data'
    - '/usr/lib/nltk_data'
    - '/usr/local/lib/nltk_data'
**********************************************************************
",error
Pipeline attack in Middle East disrupts oil supply,"Attack on major oil pipeline has disrupted supply routes, causing price volatility.",https://reuters.com/simulated-article-4-0,reuters,2023-01-05,0.8,https://reuters.com,"Attack on major oil pipeline has disrupted supply routes, causing price volatility. This is simulated news data for demonstration purposes.",0.0,neutral,0.5,low,0.5,{},[],"Error in analysis: 
**********************************************************************
  Resource [93mpunkt_tab[0m not found.
  Please use the NLTK Downloader to obtain the resource:

  [31m>>> import nltk
  >>> nltk.download('punkt_tab')
  [0m
  For more information see: https://www.nltk.org/data.html

  Attempted to load [93mtokenizers/punkt_tab/english/[0m

  Searched in:
    - '/Users/rushilkakkad/nltk_data'
    - '/Library/Frameworks/Python.framework/Versions/3.13/nltk_data'
    - '/Library/Frameworks/Python.framework/Versions/3.13/share/nltk_data'
    - '/Library/Frameworks/Python.framework/Versions/3.13/lib/nltk_data'
    - '/usr/share/nltk_data'
    - '/usr/local/share/nltk_data'
    - '/usr/lib/nltk_data'
    - '/usr/local/lib/nltk_data'
**********************************************************************
",error
"US shale production reaches new highs, oil prices decline",Record US shale production has put downward pressure on oil prices.,https://bloomberg.com/simulated-article-3-0,bloomberg,2023-01-04,0.8,https://bloomberg.com,Record US shale production has put downward pressure on oil prices. This is simulated news data for demonstration purposes.,0.0,neutral,0.5,low,0.5,{},[],"Error in analysis: 
**********************************************************************
  Resource [93mpunkt_tab[0m not found.
  Please use the NLTK Downloader to obtain the resource:

  [31m>>> import nltk
  >>> nltk.download('punkt_tab')
  [0m
  For more information see: https://www.nltk.org/data.html

  Attempted to load [93mtokenizers/punkt_tab/english/[0m

  Searched in:
    - '/Users/rushilkakkad/nltk_data'
    - '/Library/Frameworks/Python.framework/Versions/3.13/nltk_data'
    - '/Library/Frameworks/Python.framework/Versions/3.13/share/nltk_data'
    - '/Library/Frameworks/Python.framework/Versions/3.13/lib/nltk_data'
    - '/usr/share/nltk_data'
    - '/usr/local/share/nltk_data'
    - '/usr/lib/nltk_data'
    - '/usr/local/lib/nltk_data'
**********************************************************************
",error
"Iran tensions escalate in Persian Gulf, crude futures jump",Geopolitical tensions in the Middle East have caused oil prices to spike as supply concerns mount.,https://cnbc.com/simulated-article-1-0,cnbc,2023-01-02,0.8,https://cnbc.com,Geopolitical tensions in the Middle East have caused oil prices to spike as supply concerns mount. This is simulated news data for demonstration purposes.,0.0,neutral,0.5,low,0.5,{},[],"Error in analysis: 
**********************************************************************
  Resource [93mpunkt_tab[0m not found.
  Please use the NLTK Downloader to obtain the resource:

  [31m>>> import nltk
  >>> nltk.download('punkt_tab')
  [0m
  For more information see: https://www.nltk.org/data.html

  Attempted to load [93mtokenizers/punkt_tab/english/[0m

  Searched in:
    - '/Users/rushilkakkad/nltk_data'
    - '/Library/Frameworks/Python.framework/Versions/3.13/nltk_data'
    - '/Library/Frameworks/Python.framework/Versions/3.13/share/nltk_data'
    - '/Library/Frameworks/Python.framework/Versions/3.13/lib/nltk_data'
    - '/usr/share/nltk_data'
    - '/usr/local/share/nltk_data'
    - '/usr/lib/nltk_data'
    - '/usr/local/lib/nltk_data'
**********************************************************************
",error
Saudi Arabia increases oil production to stabilize markets,Saudi Arabia announced increased production to help stabilize global oil markets.,https://ap.com/simulated-article-1-1,ap,2023-01-02,0.8,https://ap.com,Saudi Arabia announced increased production to help stabilize global oil markets. This is simulated news data for demonstration purposes.,0.0,neutral,0.5,low,0.5,{},[],"Error in analysis: 
**********************************************************************
  Resource [93mpunkt_tab[0m not found.
  Please use the NLTK Downloader to obtain the resource:

  [31m>>> import nltk
  >>> nltk.download('punkt_tab')
  [0m
  For more information see: https://www.nltk.org/data.html

  Attempted to load [93mtokenizers/punkt_tab/english/[0m

  Searched in:
    - '/Users/rushilkakkad/nltk_data'
    - '/Library/Frameworks/Python.framework/Versions/3.13/nltk_data'
    - '/Library/Frameworks/Python.framework/Versions/3.13/share/nltk_data'
    - '/Library/Frameworks/Python.framework/Versions/3.13/lib/nltk_data'
    - '/usr/share/nltk_data'
    - '/usr/local/share/nltk_data'
    - '/usr/lib/nltk_data'
    - '/usr/local/lib/nltk_data'
**********************************************************************
",error
