signal_direction,signal_strength,position_size,current_price,stop_loss,take_profit,sentiment_score,sentiment_std,reliability_score,source_diversity,price_volatility,impact_likely,num_articles,avg_reliability,signal_quality
1,0.7161380302130851,1.0,120.50711822509766,115.68683349609375,127.73754531860351,0.511477196416729,,0.89,1.0,0.0,0.5,1,0.89,0.9999999999999999
1,0.7568484777196307,1.0,125.2699203491211,120.25912353515625,132.78611557006835,0.6133396820026376,,0.89,1.0,0.0,0.2,1,0.89,0.9999999999999999
1,0.6574398863388955,0.7688121625639875,135.03038024902344,129.6291650390625,143.13220306396485,0.3990303779652,,0.88,1.0,0.0,0.2,1,0.88,0.9999999999999999
1,0.7495129109198077,1.0,133.43336486816406,128.0960302734375,141.4393667602539,0.6423895975654027,,0.83,1.0,0.0,0.35,1,0.83,0.9999999999999999
-1,0.6091849482493171,0.7690374123597791,129.2624053955078,137.221875873284,117.32319967884354,-0.3134090711535549,,0.85,1.0,0.019313851186977603,0.5,1,0.85,0.9999999999999999
1,0.9137867631126817,1.0,125.70205688476562,117.8378678260597,137.4983404728245,1.0,,0.86,1.0,0.019840302083650403,0.2,1,0.86,0.9999999999999999
1,0.9259096981593731,1.0,131.34786987304688,122.91602113759504,143.99564297622464,1.0,,0.86,1.0,0.022184711566884504,0.2,1,0.86,0.9999999999999999
1,0.8631276765616926,1.0,126.06841278076172,117.64864188850838,138.69806911914173,0.8264807864920605,,0.9,1.0,0.023872506515211438,0.2,1,0.9,0.9999999999999999
1,0.9448441693097182,1.0,132.58792114257812,124.50096484072449,144.71835559535856,1.0,,0.9,1.0,0.02326301251872117,0.35,1,0.9,0.9999999999999999
-1,0.9098513018047795,1.0,125.86174774169922,133.97285772187638,113.69508277143346,-1.0,,0.82,1.0,0.022016654121003888,0.35,1,0.82,0.9999999999999999
1,0.9397570522619412,1.0,112.96369171142578,102.83553658481246,128.15592440134577,1.0,,0.89,1.0,0.02472905293420401,0.2,1,0.89,0.9999999999999999
-1,0.9442917477088392,1.0,123.87885284423828,132.3469745765679,111.17667024574385,-1.0,,0.9,1.0,0.02756268844122848,0.35,1,0.9,0.9999999999999999
-1,0.9181278456660158,1.0,121.24595642089844,127.56573608687175,111.76628692193847,-1.0,,0.87,1.0,0.017888418728744818,0.2,1,0.87,0.9999999999999999
-1,0.9298347394010481,1.0,117.23977661132812,123.09683081662266,108.45419530338631,-1.0,,0.9,1.0,0.018791008877112818,0.2,1,0.9,0.9999999999999999
-1,0.7072806831215904,0.952676287442799,114.275390625,121.76548798155811,103.04024459016284,-0.5391660024824237,,0.85,1.0,0.019372300438490333,0.35,1,0.85,0.9999999999999999
1,0.9014995763572674,1.0,114.01968383789062,106.95713134712493,124.61351257403918,1.0,,0.8,1.0,0.02113142199630753,0.35,1,0.8,0.9999999999999999
-1,0.7043166648058006,1.0,116.31163024902344,123.27541574062575,105.86595201161998,-0.47303940508717307,,0.9,1.0,0.021564176441455654,0.2,1,0.9,0.9999999999999999
1,0.6130480201002426,0.7191434413896838,115.86650085449219,109.94992145127416,124.74136995931923,0.2949568575554938,,0.89,1.0,0.019683030318979642,0.35,1,0.89,0.9999999999999999
-1,0.9295795405402789,1.0,113.57454681396484,119.64671919565001,104.46628824143711,-1.0,,0.9,1.0,0.020067003180958984,0.2,1,0.9,0.9999999999999999
1,0.652288853371487,0.8062735817515861,112.67481231689453,106.50252019724155,121.933250496374,0.3905687886426987,,0.88,1.0,0.017073498413311166,0.2,1,0.88,0.9999999999999999
1,0.7330167983129836,0.9647984328512327,117.30608367919922,110.73330657096356,127.16524934155271,0.6019820406204358,,0.85,1.0,0.01889975665684076,0.2,1,0.85,0.9999999999999999
1,0.7589214573736087,1.0,115.66761779785156,108.9243626676828,125.78250049310472,0.6259159821632422,,0.89,1.0,0.01773320393103939,0.2,1,0.89,0.9999999999999999
-1,0.9243961629673834,1.0,117.91220092773438,124.77722342071269,107.6146671882669,-1.0,,0.88,1.0,0.018209773398377288,0.35,1,0.88,0.9999999999999999
1,0.9129525327166936,1.0,122.24987030029297,115.2211343557653,132.79297421708446,1.0,,0.85,1.0,0.01971996282403071,0.2,1,0.85,0.9999999999999999
-1,0.9217430645280852,1.0,120.5545654296875,127.45206208886309,110.20832044092413,-1.0,,0.88,1.0,0.019595265594868506,0.2,1,0.88,0.9999999999999999
1,0.9138601644027261,1.0,116.98837280273438,109.67582388987702,127.95719617202039,1.0,,0.86,1.0,0.019473295633428516,0.2,1,0.86,0.9999999999999999
1,0.6703106398340484,0.8573884421086859,122.81299591064453,116.77725674072819,131.86660466551905,0.4562440655201849,,0.85,1.0,0.01812997581822397,0.2,1,0.85,0.9999999999999999
1,0.9184822921507882,1.0,126.81682586669922,121.21281523236185,135.22284181820527,1.0,,0.87,1.0,0.016116186304882884,0.2,1,0.87,0.9999999999999999
1,0.8940915344776105,1.0,132.26968383789062,126.04603519568303,141.605156801202,0.9362074283015052,,0.88,1.0,0.015494755846390328,0.2,1,0.88,0.9999999999999999
1,0.6429960592884872,0.7642062390331723,133.69009399414062,127.9553423260267,142.29222149631153,0.4393606329638666,,0.8,1.0,0.016582217291931406,0.2,1,0.8,0.9999999999999999
-1,0.6157919843965588,0.7231845231352826,137.50326538085938,143.37692524756525,128.69277558080057,-0.29879588521381256,,0.89,1.0,0.014540404842431338,0.35,1,0.89,0.9999999999999999
-1,0.6614723446558692,0.787907702972192,138.2659149169922,143.73919381460973,130.05599657056587,-0.42275937664711183,,0.87,1.0,0.014526955411329511,0.2,1,0.87,0.9999999999999999
1,0.9031680635344207,1.0,139.5528564453125,133.6996202224384,148.33271077962365,1.0,,0.83,1.0,0.013849682327896778,0.2,1,0.83,0.9999999999999999
1,0.9154562832749531,1.0,137.608154296875,131.3082309313691,147.05803934513384,1.0,,0.86,1.0,0.01149270127229332,0.2,1,0.86,0.9999999999999999
-1,0.8617001981808756,1.0,140.9827880859375,147.48290105491503,131.2326186324712,-0.8968293699392111,,0.84,1.0,0.011706903815095362,0.2,1,0.84,0.9999999999999999
-1,0.5883431439931822,0.6158349607325053,141.6119842529297,146.99809678421494,133.53281545600183,-0.26487850681352715,,0.86,1.0,0.010445810218631982,0.2,1,0.86,0.9999999999999999
-1,0.9114887013708012,1.0,145.6444091796875,151.21438538551882,137.28944487094054,-1.0,,0.85,1.0,0.011606493145994485,0.2,1,0.85,0.9999999999999999
1,0.6531944443256366,0.7591149251801061,143.1658477783203,137.5945121415687,151.5228512334477,0.37864153186227734,,0.9,1.0,0.012111700261896091,0.2,1,0.9,0.9999999999999999
1,0.552458229687311,0.5592795883983349,139.35403442382812,133.25517533690882,148.50232305420707,0.2726214913313594,,0.75,1.0,0.012816757050851519,0.2,1,0.75,0.9999999999999999
1,0.6624561293320502,0.8583177718396301,131.06546020507812,123.88924567940334,141.82978199359027,0.42766984428137267,,0.86,1.0,0.017597362848014827,0.2,1,0.86,0.9999999999999999
1,0.7197404952332618,1.0,133.6239013671875,126.25108685502065,144.6831231354378,0.5452811798705272,,0.87,1.0,0.01800406893777245,0.35,1,0.87,0.9999999999999999
1,0.8173484428136415,1.0,139.1719970703125,131.49528888863682,150.68705934282602,0.7922349476576857,,0.85,1.0,0.020303919539014482,0.2,1,0.85,0.9999999999999999
1,0.6948548051922694,0.9890025902244369,139.36361694335938,131.9155101641328,150.53577711219924,0.565369844160152,,0.78,1.0,0.019321167452722207,0.35,1,0.78,0.9999999999999999
-1,0.7286266521295183,0.9489117347646006,145.48667907714844,152.65689383981305,134.7313569331515,-0.5757132068499,,0.87,1.0,0.019681455363509053,0.2,1,0.87,0.9999999999999999
-1,0.9299223297955577,1.0,140.39849853515625,146.38053244813926,131.42544766568173,-1.0,,0.9,1.0,0.018353056904565183,0.2,1,0.9,0.9999999999999999
1,0.5725769294180889,0.6002471154919776,138.8940887451172,132.95859335099993,147.7973318362931,0.2947759361879669,,0.78,1.0,0.013715412806425005,0.2,1,0.78,0.9999999999999999
-1,0.9188948798529981,1.0,132.4835968017578,139.09532423833676,122.56600564688938,-1.0,,0.87,1.0,0.014053247793832924,0.2,1,0.87,0.9999999999999999
-1,0.6105854875829032,0.6607471125139971,133.8251190185547,140.74483983043524,123.44553780073385,-0.28519210982947374,,0.9,1.0,0.016124882060081065,0.2,1,0.9,0.9999999999999999
1,0.7234753933759412,0.9320764170203365,134.03591918945312,127.28046783083276,144.16909622738368,0.5541314196987315,,0.88,1.0,0.015942684262230944,0.2,1,0.88,0.9999999999999999
1,0.6305700837166281,0.715656934887899,133.50889587402344,127.09703954513188,143.1266803673608,0.35412114696703356,,0.87,1.0,0.016047258689044348,0.2,1,0.87,0.9999999999999999
1,0.5641939201680454,0.5762617692876757,132.3590087890625,126.34823170744379,141.37517441149058,0.2608133867056448,,0.8,1.0,0.01590952642859768,0.2,1,0.8,0.9999999999999999
1,0.9107031800263543,1.0,131.49664306640625,126.05395284637439,139.66067839645405,1.0,,0.85,1.0,0.01553409986822858,0.2,1,0.85,0.9999999999999999
-1,0.6354300694413695,0.7264419427796066,127.11756896972656,132.71495364825654,118.72149195193163,-0.36436690446415576,,0.87,1.0,0.014584584276029,0.2,1,0.87,0.9999999999999999
-1,0.644723135257287,0.785577429413807,131.56370544433594,137.55943356265942,122.57011326685073,-0.3823013938772359,,0.87,1.0,0.016850202365540252,0.2,1,0.87,0.9999999999999999
-1,0.9187044048278348,1.0,132.63604736328125,138.8898259439286,123.25537949231021,-1.0,,0.87,1.0,0.015005622919650104,0.2,1,0.87,0.9999999999999999
-1,0.6596743077196204,0.8383730271568937,135.6388702392578,141.1181991938557,127.41987680736099,-0.4305779052108137,,0.85,1.0,0.015938540094364885,0.35,1,0.85,0.9999999999999999
1,0.825401217831853,1.0,132.19190979003906,126.72280899606416,140.39556098100144,0.8000056290036752,,0.86,1.0,0.016517402532817922,0.2,1,0.86,0.9999999999999999
-1,0.792765358756611,1.0,127.55732727050781,133.17124209163734,119.13645503881351,-0.748098419706563,,0.83,1.0,0.01565336999000978,0.2,1,0.83,0.9999999999999999
1,0.6059805793610453,0.710746040132773,127.46077728271484,122.08824925329449,135.51956932684536,0.3093322675378991,,0.85,1.0,0.014795171798785785,0.35,1,0.85,0.9999999999999999
1,0.9295228599511444,1.0,124.0234603881836,118.35300393512182,132.52914506777626,1.0,,0.89,1.0,0.012523641420749108,0.35,1,0.89,0.9999999999999999
-1,0.6127662599984791,0.7609329785062112,126.37936401367188,131.80429970001336,118.24196048415965,-0.42965691781619486,,0.72,1.0,0.012450471771112614,0.35,1,0.72,0.9999999999999999
1,0.6017330934527105,0.6485875332569283,129.4497833251953,124.31588859525112,137.1506254201116,0.29599345071172894,,0.86,1.0,0.012767753810144613,0.2,1,0.86,0.9999999999999999
1,0.9110128427969004,1.0,128.43597412109375,123.39311096609767,136.0002688535879,1.0,,0.85,1.0,0.01398578601549801,0.2,1,0.85,0.9999999999999999
-1,0.8798383243268727,1.0,126.23455047607422,131.48707742488963,118.35576005285108,-1.0,,0.77,1.0,0.013124260718578357,0.2,1,0.77,0.9999999999999999
-1,0.653515512018639,0.811969756041544,131.3132781982422,137.10237196904959,122.62963754203108,-0.38314185647476084,,0.89,1.0,0.014369423575570334,0.35,1,0.89,0.9999999999999999
-1,0.8491889265032418,1.0,135.0981903076172,141.00452707449477,126.23868515730081,-0.8349188165124666,,0.87,1.0,0.015499949384835073,0.35,1,0.87,0.9999999999999999
-1,0.6738433886535472,0.82589317536785,134.63473510742188,140.33141354898342,126.08971744507957,-0.47561028130533994,,0.84,1.0,0.015441186170192491,0.2,1,0.84,0.9999999999999999
-1,0.6149358704616273,0.7446757959403341,136.56581115722656,142.05834316186156,128.32701315027407,-0.36950671202567026,,0.8,1.0,0.013269230931270458,0.35,1,0.8,0.9999999999999999
1,0.9295657211361291,1.0,141.837646484375,137.01546871466925,149.0709131389336,1.0,,0.89,1.0,0.012309335495825255,0.35,1,0.89,0.9999999999999999
-1,0.6634643856590734,0.7877516090261724,143.3632049560547,148.03641156203224,136.35339504708836,-0.41702285210427564,,0.88,1.0,0.010029129898942215,0.2,1,0.88,0.9999999999999999
-1,0.6459403333702907,0.7410725077855841,143.4020233154297,148.1110618007488,136.33846558745105,-0.3615012353374814,,0.9,1.0,0.01004211807526597,0.2,1,0.9,0.9999999999999999
