signal_type,signal_strength,signal_quality,sentiment_score,volatility_score,reliability_score,impact_likely,volume_confirmation,price_confirmation,source_diversity,momentum_filter,volume_filter,price_volatility
BUY,0.4245449531353882,0.4,0.047007100269204245,0.036969110984908064,0.83,0.35,1.3815354473338348,1.0,1.0,1.0,1.0,0.5
SELL,0.512237997033306,0.7999999999999999,0.21618709787786805,0.03816236170800452,0.89,0.35,1.8408342498623176,1.0,1.0,1.0,1.0,0.5
SELL,0.8150510745594671,0.7999999999999999,0.9808811673720998,0.043826503537501525,0.9,0.5,1.6736333699944927,1.0,1.0,1.0,1.0,0.5
BUY,0.7027048371015758,0.7925102421641507,-0.044051657042928793,0.7618677440059811,0.886441354786064,,,,,,,
BUY,0.5951494456252571,0.6986304874367552,-0.425552954404818,0.14537947403507823,0.5459692775702774,,,,,,,
SELL,0.7769769451731834,0.6367019381575061,-0.04092912783527669,0.3214002475286145,0.5851358331456162,,,,,,,
BUY,0.7260785029228272,0.7342235898809886,-0.42740340383825903,0.4834549985586363,0.7052236181309524,,,,,,,
SELL,0.6479824922768755,0.6435564847350188,-0.4220317116975225,0.8950914360625756,0.8083490516230034,,,,,,,
BUY,0.7909937180006241,0.40772232837527805,-0.013491304658093228,0.42979494012055786,0.5683970791961056,,,,,,,
SELL,0.7700135795284755,0.7544400126239817,-0.3078025803392741,0.9449047052515329,0.7203827122513349,,,,,,,
SELL,0.34797637232439116,0.4575245327057992,0.4324672876253267,0.5971013283950347,0.9234417375565614,,,,,,,
BUY,0.5927600124336563,0.5899429558154691,-0.2585201766297819,0.45307068983975796,0.09897264800225591,,,,,,,
