signal_type,signal_strength,signal_quality,sentiment_score,volatility_score,reliability_score,impact_likely,volume_confirmation,price_confirmation,source_diversity,momentum_filter,volume_filter,signal_score,sentiment_surprise,market_impact_score,event_importance,signal_amplification,sentiment_volatility,reliability_weighted_sentiment,event_count,cluster_size,price_volatility
SELL,0.8158651395515131,0.7999999999999999,1.0,0.01985469668105325,0.86,0.2,1.7963636260306066,1.0,1.0,True,True,0.55,0,0,0,0,0,0,0,1,0.5
BUY,0.7275275456323733,0.7999999999999999,-0.7597768066450907,0.02422727990273185,0.9,0.35,1.1078480264494561,1.0,1.0,True,True,0.55,0,0,0,0,0,0,0,1,0.5
SELL,0.6479485447615467,0.7999999999999999,0.6612744572083344,0.010931061863458073,0.78,0.2,0.8632445480675104,1.0,1.0,True,True,0.55,0,0,0,0,0,0,0,1,0.5
SELL,0.5545490507759617,0.7999999999999999,0.34921850994005044,0.03258500691501642,0.86,0.35,0.6396403692353158,1.0,1.0,True,True,0.55,0,0,0,0,0,0,0,1,0.5
SELL,0.8256852992771521,0.7999999999999999,1.0,0.031447993101434396,0.89,0.2,0.6845657989892489,1.0,1.0,True,True,0.55,0,0,0,0,0,0,0,1,0.5
BUY,0.5346810837552739,0.7999999999999999,-0.30715402715310114,0.04485528378367446,0.85,0.2,0.9276064066333918,1.0,1.0,True,True,0.55,0,0,0,0,0,0,0,1,0.5
SELL,0.5936452807787144,0.7999999999999999,0.4177666897185853,0.028891746509598075,0.9,0.2,0.9867681680171291,1.0,1.0,True,True,0.55,0,0,0,0,0,0,0,1,0.5
SELL,0.520954244170319,0.7999999999999999,0.23745639374850885,0.041968265922373814,0.89,0.35,1.6099273549265238,1.0,1.0,True,True,0.55,0,0,0,0,0,0,0,1,0.5
BUY,0.8235199963968313,0.7999999999999999,-1.0,0.032411571449085685,0.89,0.2,1.5865695413542702,1.0,1.0,True,True,0.55,0,0,0,0,0,0,0,1,0.5
SELL,0.812486678053198,0.7999999999999999,1.0,0.032270094142318025,0.87,0.2,1.8452388563764415,1.0,1.0,True,True,0.55,0,0,0,0,0,0,0,1,0.5
SELL,0.48806197019619535,0.7999999999999999,0.20904940332561162,0.031654688531259,0.83,0.2,1.8439885597861994,1.0,1.0,True,True,0.55,0,0,0,0,0,0,0,1,0.5
BUY,0.4569875195491273,0.4,-0.08674507688605597,0.044306598161076724,0.9,0.35,0.9860293563956223,1.0,1.0,True,True,0.5168626922151399,0,0,0,0,0,0,0,1,0.5
SELL,0.8249385888925636,0.7999999999999999,1.0,0.019432414940192343,0.9,0.35,1.3914096099500877,1.0,1.0,True,True,0.55,0,0,0,0,0,0,0,1,0.5
SELL,0.5348145871143263,0.7999999999999999,0.2827987532396019,0.019317369039603845,0.89,0.2,2.0,1.0,1.0,True,True,0.55,0,0,0,0,0,0,0,1,0.5
SELL,0.8166613494612467,0.7999999999999999,1.0,0.020618965702190486,0.86,0.2,1.2753593537103263,1.0,1.0,True,True,0.55,0,0,0,0,0,0,0,1,0.5
BUY,0.49482878753033616,0.4,-0.19476859503645014,0.02030846845703601,0.86,0.2,0.9531806550701658,1.0,1.0,True,True,0.55,0,0,0,0,0,0,0,1,0.5
BUY,0.5892781314850368,0.7999999999999999,-0.41111063036349915,0.019942165295425786,0.9,0.35,1.2110259109760413,1.0,1.0,True,True,0.55,0,0,0,0,0,0,0,1,0.5
BUY,0.5040715508240717,0.7999999999999999,-0.21440512964883865,0.01981200182749038,0.88,0.2,1.8502400427374108,1.0,1.0,True,True,0.55,0,0,0,0,0,0,0,1,0.5
BUY,0.518231189345762,0.7999999999999999,-0.25366492496664306,0.019858862228435522,0.86,0.35,1.6015162687739848,1.0,1.0,True,True,0.55,0,0,0,0,0,0,0,1,0.5
BUY,0.4640040053861633,0.4,-0.17898530857380018,0.019874072586076066,0.8,0.2,2.0,1.0,1.0,True,True,0.55,0,0,0,0,0,0,0,1,0.5
BUY,0.44486871768737407,0.4,-0.06975931532436049,0.01980807534636436,0.86,0.35,1.585944393059149,1.0,1.0,True,True,0.47439828831090125,0,0,0,0,0,0,0,1,0.5
SELL,0.49559379328774905,0.7999999999999999,0.2056818277739394,0.019969837057251947,0.85,0.2,2.0,1.0,1.0,True,True,0.55,0,0,0,0,0,0,0,1,0.5
BUY,0.6309593674410596,0.7999999999999999,-0.5439322828676043,0.02005849803232082,0.85,0.2,2.0,0.7,1.0,True,True,0.55,0,0,0,0,0,0,0,1,0.5
SELL,0.7024007706854021,0.7999999999999999,0.7881224250509198,0.021791094042208966,0.77,0.2,2.0,0.7,1.0,True,True,0.55,0,0,0,0,0,0,0,1,0.5
BUY,0.8036602001277884,0.7999999999999999,-1.0,0.021958104810874686,0.82,0.35,2.0,0.7,1.0,True,True,0.55,0,0,0,0,0,0,0,1,0.5
BUY,0.7923491354773088,0.7999999999999999,-1.0,0.022397347596614308,0.8,0.2,1.8294680698404309,0.7,1.0,True,True,0.55,0,0,0,0,0,0,0,1,0.5
SELL,0.8151416804511565,0.7999999999999999,1.0,0.022119433262506465,0.87,0.2,1.5746348920837756,1.0,1.0,True,True,0.55,0,0,0,0,0,0,0,1,0.5
SELL,0.5026319125454318,0.7999999999999999,0.24344982996607803,0.022138274121005278,0.84,0.35,1.0342510226147397,1.0,1.0,True,True,0.55,0,0,0,0,0,0,0,1,0.5
BUY,0.5403602195077297,0.7999999999999999,-0.3131393920979967,0.021890411782000466,0.87,0.35,1.2120772967451086,1.0,1.0,True,True,0.55,0,0,0,0,0,0,0,1,0.5
BUY,0.6494155072523414,0.7999999999999999,-0.60197678572691,0.021737234529036295,0.85,0.2,0.8843006792804543,1.0,1.0,True,True,0.55,0,0,0,0,0,0,0,1,0.5
BUY,0.616266954393144,0.7999999999999999,-0.4948997851867911,0.021580381470535297,0.88,0.35,1.4550610727260587,1.0,1.0,True,True,0.55,0,0,0,0,0,0,0,1,0.5
BUY,0.5245379548414025,0.7999999999999999,-0.27404354034745,0.021273604407800874,0.87,0.35,1.4197970257149068,1.0,1.0,True,True,0.55,0,0,0,0,0,0,0,1,0.5
